file	before_sha256	after_sha256	pixel_changes	difference_bbox
settings-center--theme-carbon--density-compact--viewport-minimum.png	02a110bdac5089e886e0756bd065d6dbe84998d1995f6e044f60819dfe5780bc	f258a71c3f86a584e2a219692a66eb0660ab5553695b7edac476d4568f80f43c	29	(199, 213, 204, 220)
settings-center--theme-carbon--density-compact--viewport-standard.png	8b033c1796c69b7b1d7f1a8875585c7f96bb3bf961c99bc4075a9d8288a3fa83	8e342156c3bc4c1c3e957d8182b00bb243dfe48b75980711e1d982bbbcff153e	39	(199, 262, 204, 271)
settings-center--theme-carbon--density-spacious--viewport-minimum.png	11938d969da5aa8d33e9f06868980c65718c5389732d63f8bfdcc3e8b182161e	51db83f55bb43d9d9ca945675be4f46424251c823291ef944f6299674ac0cf3a	29	(199, 192, 204, 199)
settings-center--theme-carbon--density-spacious--viewport-standard.png	b0f07d03d04e26e1cc3b77f5dfaeef0e467256364e087045c2e139791c01c04e	b55445b5c9b59a96f691b401eb563b2c66956d6131222f0c4f5183cd15927253	34	(199, 233, 204, 241)
settings-center--theme-carbon--density-standard--viewport-minimum.png	960dbef3626c50b7d7b4f924c72ea579a7fb2ef05bebd70b44bac5a334669d74	c4640487036eb05092d1215969350e587c6eea023bf2180090837598e45d24b6	29	(199, 203, 204, 210)
settings-center--theme-carbon--density-standard--viewport-standard.png	bc50bf30b57eba3bcc0b0c0088ce0b6a7ca3761e3d2cf224d4572e46b2c5f056	10d0a80f4fff8d060190736fea7e9c6c2240e5b41d664900bea9d0fb9bf7a4be	39	(199, 248, 204, 257)
settings-center--theme-emerald--density-compact--viewport-minimum.png	d37c0af8f4977289fe80d958c5199386f420486ec05a28281dc477ddb13ea1b7	3d1279bdc42d52cfb25285582c41b189c1d10aedf72a9d60c883ca72e7c508c5	29	(199, 213, 204, 220)
settings-center--theme-emerald--density-compact--viewport-standard.png	f94ae0445dc5aaaeab6b55d7d82f0e51a553549ef2e12050b94c7c9a6d27019e	b10c1b9d5218740c0cd1e8ae875f52b3c7c57f01a767476f5d59148494eabc25	39	(199, 262, 204, 271)
settings-center--theme-emerald--density-spacious--viewport-minimum.png	0b79ba168c98f8b14314b783656bbfbf8612c3d319074f5efa6a1ceeb992d63b	b16866ec210013f9d80e645d7171ced5a51508d563cd78dd8c7148e3b67007c7	29	(199, 192, 204, 199)
settings-center--theme-emerald--density-spacious--viewport-standard.png	1bf8a31a632fc81396f042e43074e309b479b7aca2e08999f140b135613b9915	0ce67580995458cbd5cc003e14ac9a2ae29a4a3e4dcbdfa68bf363dacf1f5f4b	34	(199, 233, 204, 241)
settings-center--theme-emerald--density-standard--viewport-minimum.png	95ab4b6ee4498e103401d3c84054bfdca054edfa0e9708ccaeafa76ae6e5b550	b3b8d2bf45ffd70210156237840f062ab77c195024d068f78f2beaa8e9eebd93	29	(199, 203, 204, 210)
settings-center--theme-emerald--density-standard--viewport-standard.png	542bfba384a00989cdf1c48f19eacfde57d11fcec13ad15d921e3d6297ffc7b2	231784bc9eeaf4c6f4e45ebb6d057705ff30f135a4d78c31443c7bad30063e44	39	(199, 248, 204, 257)
settings-center--theme-graphite--density-compact--viewport-minimum.png	bbb30246b777c70fda3e1ee5497a20d08e632c44638d9c3141b8a5ea6efb2039	ad31047ff5d7697749b63b247dd523dd415d1bef0cb592e774e6d76cb2698756	29	(199, 213, 204, 220)
settings-center--theme-graphite--density-compact--viewport-standard.png	1a29f93ffe57f4e27b38e0e8aac361ea5b6c64b0274e74dd43696780142a17a8	d1b0647d1f0f8ab7821aeec90587e2a935aed3295ffbd295843c77641acfd6de	39	(199, 262, 204, 271)
settings-center--theme-graphite--density-spacious--viewport-minimum.png	af8ff6ce0c64d527901392c81221eed5d3eaac8a779a531892360c62cf223391	af7067bd3363be562963165a913a6c4176880aceeada3fca260494e4602deef7	29	(199, 192, 204, 199)
settings-center--theme-graphite--density-spacious--viewport-standard.png	f4672ee1fb6a7d50ab05ceafcb7e2cd1050a23d184daad5ec14c1a88f28e2a5f	c2acffec16d36862a35b694222871d6efd92368cc75b83f926d797e895d6118f	34	(199, 233, 204, 241)
settings-center--theme-graphite--density-standard--viewport-minimum.png	7afcf1a91df3359485f7d71d339ab77b1a97300b52e6cb06944be47654a8d8af	3290d39358cf24edf409521927fe67176989e953810c4f1d223ee8e624458d8a	29	(199, 203, 204, 210)
settings-center--theme-graphite--density-standard--viewport-standard.png	fad432cda5227ff7f5b9690f3cd174843590b3462a860ddfade0aca9f606cbf9	74c8881506acb315704ef369f9c26ff33ee87a661cb6c0656547474e40d37502	39	(199, 248, 204, 257)
settings-center--theme-honey--density-compact--viewport-minimum.png	bdd855fcadd2fe249f4ac1870efe9bf15056f89849961c11e9660fb4b40f0402	7b0cc2789362425541dee870875e14530ca449414a7d604b6c150cc026421b04	29	(199, 213, 204, 220)
settings-center--theme-honey--density-compact--viewport-standard.png	841f5dc12a6b8790965ab934387862e0252e5c11be74c3b941bc863f29f0f2bb	0fbc6b5af4a794266193b15a598c3d0ff9f84e306f86ca3a195446894722576b	39	(199, 262, 204, 271)
